baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000000194	3.78577	5.60864666666667	4.712485	5.78375	7.20095	2.90801333333333	4.04016	3.56425333333333
ENSMUSG00000000197	0	0	0	0.00784331	0.003373175	0.00259180666666667	0.00215977333333333	0.00397832666666667
ENSMUSG00000000202	0.0122639	0	0	0	0	0	0	0
ENSMUSG00000000204	0	0.135129166666667	0.11323395	0.0404427666666667	0.07022345	0.00509283333333333	0.0662636333333333	0.0317122333333333
ENSMUSG00000000216	0	0	0	0	0	0	0	0.00422256666666667
ENSMUSG00000000223	0.00624335933333333	0.00485496766666667	0.000808745	0.00470815033333333	0.01565905	0.000221274666666667	0	0.00441533333333333
ENSMUSG00000000244	0.0992344	0.1347878	0.0705427	0.0564684666666667	0.03650745	0.0937638333333333	0.072184	0.0701876333333333
ENSMUSG00000000247	0.455991333333333	0.524373666666667	0.607834	0.679672333333333	0.8929915	0.492872666666667	0.464670333333333	0.498723666666667
ENSMUSG00000000248	0.0105956666666667	0	0	0	0	0	0	0
ENSMUSG00000000253	0.398458	0.634146	0.489548	0.594081333333333	0.5285385	0.510690666666667	0.518265333333333	0.288833333333333
ENSMUSG00000000266	0.723168	0.885519666666667	0.9064495	1.00547233333333	1.098285	0.739082333333333	0.948893333333333	0.675252333333333
ENSMUSG00000000275	11.1279666666667	13.9404	11.91375	13.5763333333333	13.50195	9.24749666666667	14.6735	11.5291666666667
ENSMUSG00000000276	0.195866333333333	0.332251666666667	0.260013	0.351900666666667	0.4124455	0.167713333333333	0.198686	0.176349333333333
ENSMUSG00000000278	19.021	22.8633666666667	23.4727	30.5866	24.25825	13.6548033333333	23.8825	20.2979
ENSMUSG00000000282	2.19162	1.94187333333333	1.888045	2.53862666666667	2.58922	0.772756333333333	1.59867	1.24657
ENSMUSG00000000290	0.667063666666667	1.25050333333333	1.2978925	0.987432666666667	1.477207	1.068116	2.12909666666667	0.849297
ENSMUSG00000000295	0.917214	0.810130333333333	0.748499	0.987141666666667	0.7425815	1.49514	1.12142933333333	0.726884666666667
ENSMUSG00000000296	4.90359333333333	2.97023333333333	3.500785	3.94749666666667	3.69378	6.29324666666667	5.05171	4.50155
ENSMUSG00000000301	316.404666666667	281.966333333333	354.181	303.751	270.157	323.151	336.086	315.376
ENSMUSG00000000303	10.0119266666667	10.1762033333333	9.212985	10.87044	11.117605	6.68475666666667	11.9289	12.9843666666667
ENSMUSG00000000305	0.0450819666666667	0.1249307	0.1290785	0.0844550333333333	0.06938015	0.0410548333333333	0.0684769666666667	0.0844955
ENSMUSG00000000308	0	0.0703206666666667	0.2554705	0.24318	0.1142665	0	0.0617564666666667	0.112983
ENSMUSG00000000317	0.235546666666667	0.512428666666667	0.3857975	0.523468	0.6683355	0.249009666666667	0.542067666666667	0.219084333333333
ENSMUSG00000000318	0.374996333333333	0.442799333333333	0.36977	0.266191833333333	0.2650595	0.321487666666667	0.481951	0.325998666666667
ENSMUSG00000000320	0.141709833333333	0.195582333333333	0.156624	0.304486666666667	0.21941385	0.0975339666666667	0.275303666666667	0.0917477666666667
ENSMUSG00000000325	2.51728	1.71178666666667	2.398355	3.20454	2.791265	2.51481666666667	2.24653333333333	2.10765
ENSMUSG00000000326	526.271333333333	515.415	354.1975	249.133333333333	353.8055	467.137333333333	631.954	672.144
ENSMUSG00000000339	3.64919666666667	4.28402	4.263615	5.32263333333333	5.177355	4.92094666666667	4.07478333333333	3.8542
ENSMUSG00000000340	28.8954333333333	16.7234666666667	19.9896	27.0925333333333	23.37405	19.8441333333333	24.1461	24.6005333333333
ENSMUSG00000000346	57.7463	50.0516333333333	44.30845	45.5949666666667	50.2123	45.7158333333333	59.6193333333333	58.6408666666667
ENSMUSG00000000355	31.741	29.3951666666667	26.5026	28.1506333333333	27.354	42.8373333333333	36.2994333333333	36.6101
ENSMUSG00000000359	0.237890666666667	0.113141833333333	0.1456532	0.130736666666667	0.2679533	0.182778266666667	0.132059366666667	0.198976866666667
ENSMUSG00000000365	0.00772906666666667	0.00577303333333333	0.0064611	0.00327757666666667	0.009629305	0.00669954666666667	0.0101178066666667	0.0035299
ENSMUSG00000000374	3.61198	4.56200666666667	3.723685	6.13220666666667	5.33383	2.55301	3.12791	3.14409666666667
ENSMUSG00000000378	8.58280333333333	13.3972	12.96605	14.3812	13.1949	10.5265766666667	10.0329566666667	10.4314333333333
ENSMUSG00000000384	14.6872333333333	14.3799666666667	15.3415	16.7117	16.97245	9.59935	14.0642	13.9729
ENSMUSG00000000385	0.923468	2.65621666666667	3.22652	4.35935333333333	3.662655	0.784092	2.15263666666667	1.12362333333333
ENSMUSG00000000386	0.492095666666667	0.0822840333333333	0.13241125	0.107782366666667	0.0985205	0.436268666666667	0.412022	0.226077
ENSMUSG00000000392	0.0345458333333333	0.0505300666666667	0.02931455	0.0334429	0.0738598	0.0768034333333333	0.0934694333333333	0.141789
ENSMUSG00000000399	77.7182	55.9906333333333	61.33215	63.7090666666667	61.11635	91.791	74.5201333333333	77.2355
